SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+102s,0,0,10,protocol,7.5,150,705,4.7,160,155,0.96875,0.971053,0.822449,0.606928,0.434267,0.380189,0.354754,0.354754,0.354754,0.354754,0.434303,10
+103s,0,0,10,protocol,7.5,150,716,4.77333,164,164,1,0.976064,0.776062,0.598214,0.42766,0.372222,0.356383,0.356383,0.356383,0.356383,0.433883,10
+104s,0,0,10,protocol,7.5,150,751,5.00667,179,179,1,0.985955,0.769091,0.581044,0.444328,0.391667,0.367826,0.367826,0.367826,0.367826,0.433503,10
+105s,0,0,10,protocol,7.5,160,759,4.74375,160,158,0.9875,0.942623,0.736207,0.525862,0.422772,0.355833,0.318182,0.318182,0.318182,0.318182,0.433079,10
+106s,0,0,10,protocol,7.5,160,711,4.44375,134,131,0.977612,0.944149,0.708621,0.489286,0.395954,0.34193,0.292319,0.292319,0.292319,0.292319,0.437124,10
+107s,0,0,10,protocol,7.5,160,683,4.26875,127,125,0.984252,0.923567,0.613115,0.431871,0.353497,0.305057,0.26338,0.26338,0.26338,0.26338,0.436984,10
+108s,0,0,10,protocol,7.5,160,703,4.39375,156,152,0.974359,0.930723,0.595745,0.427015,0.36773,0.312102,0.271093,0.271093,0.271093,0.271093,0.436849,10
+109s,0,0,10,protocol,7.5,160,674,4.2125,160,158,0.9875,0.908571,0.533528,0.378882,0.338889,0.275602,0.250685,0.250685,0.250685,0.250685,0.437378,10
+110s,0,0,10,protocol,7.5,160,663,4.14375,160,152,0.95,0.861272,0.52381,0.378543,0.344383,0.269452,0.256164,0.256164,0.256164,0.256164,0.438989,10
+111s,0,0,10,protocol,7.5,160,755,4.71875,156,151,0.967949,0.90137,0.563003,0.42,0.375671,0.302594,0.287671,0.287671,0.287671,0.287671,0.439458,10
+112s,4.608,9,10,protocol,7.5,160,712,4.45,142,138,0.971831,0.902381,0.572944,0.431138,0.364865,0.313043,0.295688,0.295688,0.295688,0.295688,0.440258,10
+113s,2.048,4,10,protocol,7.5,160,751,4.69375,186,184,0.989247,0.90553,0.618852,0.452096,0.376872,0.328261,0.308583,0.308583,0.308583,0.308583,0.440867,10
+114s,2.048,4,10,protocol,7.5,160,810,5.0625,244,236,0.967213,0.950495,0.696429,0.515244,0.408871,0.365801,0.34726,0.34726,0.34726,0.34726,0.44128,10
+115s,2.048,4,10,protocol,7.5,160,824,5.15,314,314,1,0.969697,0.75,0.494118,0.391304,0.36,0.348548,0.348548,0.348548,0.348548,0.441646,10
+116s,2.048,4,10,protocol,7.5,160,850,5.3125,342,342,1,0.989879,0.842949,0.521825,0.399696,0.370945,0.364771,0.364771,0.364771,0.364771,0.441623,10
+117s,2.048,4,10,protocol,7.5,160,858,5.3625,358,356,0.994413,0.996,0.880795,0.533066,0.408602,0.374648,0.368421,0.368421,0.368421,0.368421,0.441602,10
+118s,2.048,4,10,protocol,7.5,160,862,5.3875,390,390,1,0.998,0.81459,0.554865,0.416796,0.377465,0.372222,0.372222,0.372222,0.372222,0.441604,10
+119s,2.048,4,10,protocol,7.5,160,893,5.58125,404,402,0.99505,0.981707,0.807122,0.584946,0.423017,0.383099,0.377778,0.377778,0.377778,0.377778,0.441637,10
+120s,2.048,4,10,protocol,7.5,160,929,5.80625,412,407,0.987864,0.971074,0.883824,0.653261,0.473601,0.425637,0.412209,0.412209,0.412209,0.412209,0.44167,10
+121s,5.12,10,10,protocol,7.5,160,961,6.00625,372,363,0.975806,0.954064,0.922961,0.684978,0.531304,0.430282,0.415929,0.415929,0.415929,0.415929,0.444959,10
+122s,4.096,8,10,protocol,7.5,160,949,5.93125,348,348,1,0.991554,0.911243,0.738609,0.554955,0.435644,0.416216,0.416216,0.416216,0.416216,0.444837,10
+123s,2.048,4,10,protocol,7.5,160,913,5.70625,318,311,0.977987,0.978333,0.896142,0.760705,0.549091,0.432665,0.410884,0.410884,0.410884,0.410884,0.445111,10
+124s,2.048,4,10,protocol,7.5,160,931,5.81875,321,319,0.993769,0.980357,0.89497,0.815364,0.57729,0.46467,0.416667,0.416667,0.416667,0.416667,0.445532,10
+125s,2.048,4,10,protocol,7.5,160,880,5.5,288,286,0.993056,0.930451,0.841867,0.741379,0.56012,0.449718,0.385517,0.385517,0.385517,0.385517,0.446502,10
+126s,2.048,4,10,protocol,7.5,190,1026,5.4,320,320,1,0.94974,0.783816,0.660896,0.515079,0.442701,0.355033,0.355033,0.355033,0.355033,0.447119,10
+127s,2.048,4,10,protocol,7.5,200,1062,5.31,312,297,0.951923,0.928437,0.821343,0.70911,0.53937,0.460969,0.369471,0.369471,0.369471,0.369471,0.447078,10
+128s,2.048,4,10,protocol,7.5,200,962,4.81,260,251,0.965385,0.892857,0.711864,0.609959,0.466667,0.390957,0.323967,0.323967,0.323967,0.323967,0.446865,10
+129s,2.048,4,10,protocol,7.5,200,967,4.835,222,222,1,0.968872,0.734414,0.626596,0.46746,0.391102,0.326497,0.326497,0.326497,0.326497,0.446793,10
+130s,0.512,1,10,protocol,7.5,200,831,4.155,200,191,0.955,0.886719,0.633065,0.494748,0.378617,0.308246,0.264607,0.264607,0.264607,0.264607,0.44709,10
+131s,0,0,10,protocol,7.5,200,919,4.595,192,192,1,0.92437,0.733236,0.551535,0.409609,0.321611,0.288087,0.288087,0.288087,0.288087,0.447595,10
+132s,0,0,10,protocol,7.5,200,894,4.47,200,195,0.975,0.924658,0.804714,0.539503,0.400335,0.301768,0.275346,0.275346,0.275346,0.275346,0.447938,10
+133s,0,0,10,protocol,7.5,200,842,4.21,196,190,0.969388,0.944712,0.777586,0.529965,0.389465,0.289103,0.263743,0.263743,0.263743,0.263743,0.448203,10
+134s,0,0,10,protocol,7.5,200,773,3.865,168,167,0.994048,0.92402,0.686411,0.484625,0.34083,0.249367,0.232861,0.232861,0.232861,0.232861,0.448404,10
+135s,0,0,10,protocol,7.5,200,780,3.9,150,149,0.993333,0.945,0.716117,0.526954,0.335911,0.250641,0.226012,0.226012,0.226012,0.226012,0.448595,10
+136s,3.584,7,10,protocol,7.5,200,720,3.6,140,140,1,0.94,0.688645,0.505376,0.324138,0.243208,0.214857,0.214857,0.214857,0.214857,0.451605,10
+137s,4.096,8,10,protocol,7.5,200,749,3.745,140,140,1,0.923469,0.666667,0.477922,0.307179,0.238342,0.206974,0.206974,0.206974,0.206974,0.451706,10
+138s,4.096,8,10,protocol,7.5,200,760,3.8,140,140,1,0.936464,0.698182,0.492308,0.319468,0.24647,0.220436,0.220436,0.220436,0.220436,0.451873,10
+139s,4.096,8,10,protocol,7.5,200,746,3.73,140,138,0.985714,0.961538,0.692708,0.516839,0.3325,0.253173,0.226962,0.226962,0.226962,0.226962,0.452229,10
+140s,3.072,6,10,protocol,7.5,200,781,3.905,150,150,1,0.910811,0.649485,0.463235,0.310345,0.238035,0.206783,0.206783,0.206783,0.206783,0.452845,10
+141s,2.048,4,10,protocol,7.5,200,772,3.86,164,164,1,0.928571,0.640264,0.466346,0.311396,0.25,0.214602,0.214602,0.214602,0.214602,0.453309,10
+142s,2.048,4,10,protocol,7.5,200,819,4.095,180,180,1,0.935135,0.66242,0.474886,0.340426,0.278075,0.232923,0.232923,0.232923,0.232923,0.454683,10
+143s,2.048,4,10,protocol,7.5,200,862,4.31,210,210,1,0.960106,0.776667,0.506522,0.375806,0.319178,0.264773,0.264773,0.264773,0.264773,0.4552,10
