SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead,
+69s,4.096,8,10,protocol,7.5,130,809,6.22308,192,191,0.994792,0.979412,0.979412,0.792857,0.658103,0.520312,0.504545,0.504545,0.504545,0.504545,0.43622,10
+70s,3.072,6,10,protocol,7.5,130,819,6.3,168,168,1,1,1,0.825243,0.636704,0.53125,0.515152,0.515152,0.515152,0.515152,0.434607,10
+71s,2.048,4,10,protocol,7.5,130,737,5.66923,119,115,0.966387,0.951923,0.905882,0.736842,0.52921,0.48125,0.466667,0.466667,0.466667,0.466667,0.433354,10
+72s,3.584,7,10,protocol,7.5,130,688,5.29231,100,100,1,0.992647,0.904192,0.712264,0.510135,0.472613,0.460366,0.460366,0.460366,0.460366,0.432089,10
+73s,4.096,8,10,protocol,7.5,130,570,4.38462,98,95,0.969388,0.95,0.820122,0.611364,0.463793,0.433871,0.411315,0.411315,0.411315,0.411315,0.430676,10
+74s,4.096,8,10,protocol,7.5,130,542,4.16923,80,79,0.9875,0.966387,0.81677,0.605991,0.463028,0.424194,0.393713,0.393713,0.393713,0.393713,0.42929,10
+75s,4.096,8,10,protocol,7.5,130,537,4.13077,74,74,1,0.971698,0.758824,0.614286,0.464029,0.416129,0.37069,0.37069,0.37069,0.37069,0.427688,10
+76s,4.096,8,10,protocol,7.5,130,514,3.95385,70,69,0.985714,0.949074,0.765625,0.586124,0.471154,0.393891,0.344101,0.344101,0.344101,0.344101,0.427012,10
+77s,4.096,8,10,protocol,7.5,130,481,3.7,80,80,1,0.951754,0.799342,0.578571,0.484064,0.384494,0.328378,0.328378,0.328378,0.328378,0.425892,10
+78s,2.048,4,10,protocol,7.5,130,495,3.80769,80,78,0.975,0.956731,0.799296,0.540476,0.493478,0.355799,0.283042,0.283042,0.283042,0.283042,0.425228,10
+79s,2.048,4,10,protocol,7.5,130,473,3.63846,94,91,0.968085,0.97,0.761589,0.547619,0.506608,0.365079,0.27381,0.27381,0.27381,0.27381,0.42448,10
+80s,2.048,4,10,protocol,7.5,130,488,3.75385,84,84,1,0.989247,0.65625,0.5,0.466667,0.345395,0.236486,0.236486,0.236486,0.236486,0.424337,10
+81s,2.048,4,10,protocol,7.5,130,474,3.64615,80,80,1,0.977778,0.653125,0.514778,0.444681,0.318598,0.224731,0.224731,0.224731,0.224731,0.423637,10
+82s,2.048,4,10,protocol,7.5,130,471,3.62308,83,81,0.975904,0.95977,0.61875,0.518325,0.396,0.293769,0.207547,0.207547,0.207547,0.207547,0.422959,10
+83s,2.048,4,10,protocol,7.5,130,471,3.62308,68,67,0.985294,0.938889,0.643357,0.484211,0.368,0.252055,0.195745,0.195745,0.195745,0.195745,0.422604,10
+84s,2.048,4,10,protocol,7.5,130,457,3.51538,60,60,1,0.903226,0.700389,0.441176,0.336449,0.230769,0.192308,0.192308,0.192308,0.192308,0.422372,10
+85s,2.048,4,10,protocol,7.5,140,534,3.81429,60,60,1,0.965116,0.8125,0.423913,0.342105,0.230496,0.198777,0.198777,0.198777,0.198777,0.421589,10
+86s,2.048,4,10,protocol,7.5,140,480,3.42857,68,68,1,0.96875,0.707627,0.379545,0.27649,0.194186,0.17542,0.17542,0.17542,0.17542,0.421191,10
+87s,2.048,4,10,protocol,7.5,140,475,3.39286,96,96,1,0.96875,0.668103,0.353881,0.225291,0.180233,0.164894,0.164894,0.164894,0.164894,0.421068,10
+88s,2.048,4,10,protocol,7.5,140,478,3.41429,100,100,1,0.975,0.607692,0.357466,0.222535,0.179545,0.169528,0.169528,0.169528,0.169528,0.420877,10
+89s,2.048,4,10,protocol,7.5,140,505,3.60714,100,97,0.97,0.95625,0.651515,0.400932,0.234332,0.196796,0.184946,0.184946,0.184946,0.184946,0.420077,10
+90s,2.048,4,10,protocol,7.5,140,529,3.77857,86,86,1,0.94375,0.702128,0.423077,0.267568,0.229167,0.210638,0.210638,0.210638,0.210638,0.419826,10
+91s,2.048,4,10,protocol,7.5,140,532,3.8,74,74,1,0.950276,0.741611,0.404762,0.296247,0.256977,0.226899,0.226899,0.226899,0.226899,0.419351,10
+92s,2.048,4,10,protocol,7.5,140,556,3.97143,58,58,1,0.96729,0.795455,0.402961,0.344101,0.284884,0.243539,0.243539,0.243539,0.243539,0.418906,10
+93s,2.048,4,10,protocol,7.5,140,554,3.95714,60,59,0.983333,0.9125,0.77439,0.42053,0.365994,0.295349,0.250493,0.250493,0.250493,0.250493,0.418375,10
+94s,2.048,4,10,protocol,7.5,140,577,4.12143,60,60,1,0.924901,0.754237,0.445,0.397914,0.306897,0.261765,0.261765,0.261765,0.261765,0.418188,10
